Date,Close/Last,Volume,Open,High,Low
10/12/2021,57.59,746191,59.19,59.337,57.26
10/11/2021,58.47,963703,58.622,60.83,58.38
10/08/2021,59.49,799446,60.85,60.92,59.15
10/07/2021,60.13,1907826,60.01,61.48,59.80
10/06/2021,58.52,1363077,55.49,58.66,54.88
10/05/2021,57.35,1642606,55.24,58.347,55.24
10/04/2021,54.99,2559544,58.19,58.30,53.68
10/01/2021,59.12,1537705,57.22,59.5595,55.50
09/30/2021,56.64,1200366,58.89,59.63,56.56
09/29/2021,57.88,1265257,58.761,59.74,57.58
09/28/2021,58.12,2824011,61.30,61.7762,57.96
09/27/2021,63.81,1119840,63.98,64.499,62.56
09/24/2021,65.75,826516,64.33,66.02,64.22
09/23/2021,65.59,1344841,63.96,66.026,63.455
09/22/2021,63.09,1309844,61.61,63.74,60.76
09/21/2021,60.52,1105636,61.56,62.0389,59.89
09/20/2021,60.52,2791621,61.15,62.16,57.9899
09/17/2021,64.07,1765725,66.59,66.59,63.70
09/16/2021,67.16,739257,66.33,67.329,65.07
09/15/2021,66.98,877931,65.98,67.1599,64.88
09/14/2021,65.34,852857,66.42,66.80,64.80
09/13/2021,65.56,1347466,66.93,67.50,64.29
09/10/2021,65.54,1392107,68.60,69.12,65.325
09/09/2021,67.47,685142,68.44,69.14,67.37
09/08/2021,68.31,822985,69.09,69.11,66.87
09/07/2021,69.17,719855,69.21,69.53,68.13
09/03/2021,69.15,823724,68.13,69.58,67.95
09/02/2021,68.35,2932901,69.19,69.46,67.4201
09/01/2021,68.47,1120753,69.13,70.05,68.31
08/31/2021,68.47,909155,69.70,69.73,68.12
08/30/2021,69.50,1466413,67.96,69.74,67.948
08/27/2021,67.31,1370200,65.54,67.49,65.30
08/26/2021,65.48,763768,66.47,66.87,65.31
08/25/2021,66.73,659745,67.38,67.84,66.42
08/24/2021,66.89,716424,67.37,67.55,66.67
08/23/2021,67.09,1372845,65.11,67.36,65.10
08/20/2021,64.63,1301924,62.99,64.73,62.42
08/19/2021,62.23,1567555,59.39,62.86,59.16
08/18/2021,60.44,1516292,62.58,63.43,60.22
08/17/2021,63.02,1075556,63.45,63.7475,61.85
08/16/2021,64.69,1042453,63.28,64.69,61.71
08/13/2021,63.85,679843,62.90,63.85,62.70
08/12/2021,62.78,615450,61.49,62.87,60.76
08/11/2021,61.71,580407,62.34,62.6377,60.80
08/10/2021,61.69,829034,63.39,63.57,61.18
08/09/2021,63.07,541812,63.92,64.25,62.89
08/06/2021,63.68,432445,63.20,63.90,63.11
08/05/2021,63.90,609291,63.17,63.91,62.5904
08/04/2021,62.82,725536,62.41,63.26,61.74
08/03/2021,62.48,744873,61.55,62.535,60.13
08/02/2021,61.22,920096,62.76,63.03,61.02
07/30/2021,61.96,977847,60.76,62.13,60.76
07/29/2021,62.09,896060,61.12,62.68,61.10
07/28/2021,61.17,949089,61.58,62.17,59.455
07/27/2021,61.46,1862267,63.05,63.09,59.10
07/26/2021,63.28,878564,62.89,63.58,62.17
07/23/2021,63.33,1330403,62.33,63.4405,61.73
07/22/2021,61.56,1005401,60.59,61.67,60.59
07/21/2021,60.23,1320984,58.50,60.24,58.19
07/20/2021,58.50,1478164,56.88,59.56,55.88
07/19/2021,56.10,2768019,56.335,56.82,55.01
07/16/2021,58.45,1665235,60.68,61.44,58.27
07/15/2021,60.27,1952763,61.69,61.70,59.25
07/14/2021,61.88,3007738,61.93,62.70,60.96
07/13/2021,60.53,1467568,59.41,61.74,59.24
07/12/2021,59.71,1149332,60.20,60.379,59.1411
07/09/2021,59.58,1494337,57.77,59.71,57.49
07/08/2021,58.02,2093237,56.81,58.45,56.05
07/07/2021,59.68,2365205,59.84,60.03,58.29
07/06/2021,58.75,2152981,58.46,59.538,57.0116
07/02/2021,58.13,2008854,56.712,58.23,56.65
07/01/2021,55.78,1675664,55.49,55.80,54.73
06/30/2021,55.62,1573284,55.54,56.02,55.073
06/29/2021,55.78,3890542,54.56,55.84,54.29
06/28/2021,54.62,1114479,53.54,54.76,53.53
06/25/2021,52.98,697879,53.28,53.37,52.66
06/24/2021,53.13,891455,53.14,53.59,52.811
06/23/2021,52.08,885836,52.40,52.6798,51.83
06/22/2021,52.31,1171385,50.92,52.375,50.65
06/21/2021,50.95,1438543,49.50,51.00,48.44
06/18/2021,49.32,1264236,50.06,50.55,49.1801
06/17/2021,50.80,1359480,48.60,51.34,48.60
06/16/2021,49.05,1243489,50.01,50.43,47.59
06/15/2021,49.88,829330,50.55,50.64,49.5703
06/14/2021,50.84,1207926,49.49,50.84,48.85
06/11/2021,49.28,1104062,48.66,49.28,48.49
06/10/2021,48.48,3776747,47.62,48.79,47.20
06/09/2021,47.41,2410106,47.94,48.23,47.33
06/08/2021,47.33,1464694,48.00,48.5701,46.92
06/07/2021,47.28,1330302,47.18,47.46,46.61
06/04/2021,47.28,2622697,45.63,47.475,45.58
06/03/2021,44.74,1859152,44.97,45.47,43.91
06/02/2021,46.00,2327125,45.37,46.59,45.12
06/01/2021,45.13,1305354,46.39,46.55,44.85
05/28/2021,45.78,1103525,46.03,46.575,45.72
05/27/2021,45.35,1169697,45.89,46.48,45.28
05/26/2021,46.10,2161242,46.35,46.64,45.60
05/25/2021,46.12,2662019,46.66,46.92,45.755
05/24/2021,45.99,2771248,44.98,46.48,44.73
05/21/2021,43.70,3535055,45.11,45.25,43.58
05/20/2021,44.42,2362923,42.53,44.845,42.52
05/19/2021,42.03,3102818,39.64,42.10,39.50
05/18/2021,41.60,1058901,43.03,43.26,41.52
05/17/2021,42.62,1016199,42.81,42.85,41.42
05/14/2021,43.58,1976268,42.22,44.01,42.00
05/13/2021,40.92,2313736,40.53,41.95,40.07
05/12/2021,39.37,2584254,41.13,41.74,38.99
